id;spotify_id;name;image_url
1;Steel Direct indexing;Forges Caribbean;Berkshire Auto
2;invoice;Dinar Card;standardization Investor Buckinghamshire
3;navigating;Borders rich;Profound Ergonomic e-services
4;Account Producer;feed Account;Prairie generating
5;Licensed whiteboard;Generic infomediaries Branding;copying program policy
6;Rubber application Facilitator;didactic front-end Cambridgeshire;Industrial
7;Gorgeous GB;sticky JBOD;connecting architect iterate
8;Fantastic wireless;success invoice leading-edge;override
9;Card Cambridgeshire reboot;Chips Guernsey Metal;help-desk back open
10;Seychelles Car;user-facing;Mobility Home matrix
