id;spotify_id;name;image_url;release_date;album_type
1;up;Account;embrace;2024-02-26T22:15:41;COMPILATION
2;indexing ubiquitous;flexibility Investment;multimedia mint;2024-02-27T01:33:19;COMPILATION
3;orange;Global orange;Motorway;2024-02-27T07:27:37;COMPILATION
4;Circles dynamic mobile;Stravenue;azure parse B2C;2024-02-26T16:16:09;SINGLE
5;Legacy Savings;monitor;Virginia Metal Internal;2024-02-27T05:31:25;COMPILATION
6;intuitive;Metal;back generating;2024-02-27T09:03:06;COMPILATION
7;CSS;indigo Shoes Administrator;pixel Incredible RAM;2024-02-26T23:09:25;COMPILATION
8;Berkshire withdrawal capability;productize Turnpike;compress Electronics Salad;2024-02-27T04:04:42;COMPILATION
9;Tuvalu;Data Developer Planner;compress;2024-02-27T05:53:49;ALBUM
10;Senior;Cedi cohesive invoice;invoice;2024-02-27T03:59:13;ALBUM
