id;spotify_id;name;avatar_url;bio;spotify_username;user_preferences_id;spotify_token_id;feed_id
1;Officer Route;integrated Automotive black;India;../fake-data/blob/hipster.txt;collaborative multi-byte;1;1;1
2;generate Grass-roots Loan;Connecticut Knolls generation;incubate Alaska Regional;../fake-data/blob/hipster.txt;black;2;2;2
3;Gorgeous;Franc FTP Buckinghamshire;models models;../fake-data/blob/hipster.txt;Tools Coordinator Loan;3;3;3
4;Louisiana Metal;New array;Beauty project internet;../fake-data/blob/hipster.txt;Loan;4;4;4
5;Metical;Italy;Sports optical Mouse;../fake-data/blob/hipster.txt;protocol sexy Quality;5;5;5
6;program Progressive Configuration;Hawaii Practical;Chief;../fake-data/blob/hipster.txt;turquoise Frozen back-end;6;6;6
7;impactful Bike incubate;Movies;action-items Metal Universal;../fake-data/blob/hipster.txt;Bedfordshire Associate client-driven;7;7;7
8;hack deposit;neural;Vision-oriented Market transmit;../fake-data/blob/hipster.txt;Baby orange;8;8;8
9;invoice Card sky;users Rubber;card HTTP;../fake-data/blob/hipster.txt;web-enabled;9;9;9
10;Marks Optimization;Account Direct;Boliviano Research;../fake-data/blob/hipster.txt;green;10;10;10
