id;spotify_id;name;image_url;playlist_stats_id
1;Washington;one-to-one;backing Frozen;1
2;yellow Self-enabling bus;infrastructures magenta;Gorgeous;2
3;silver;Fantastic Islands;24/7 Afghani Ergonomic;3
4;copying reboot;PCI Electronics hacking;Distributed modular mobile;4
5;Ergonomic;Granite;driver;5
6;cross-platform;implement;Cambridgeshire;6
7;Steel Dakota;Borders;indexing JBOD;7
8;Gorgeous Savings;Tonga;Steel;8
9;Berkshire Division Implementation;Roads withdrawal technologies;Refined Future Architect;9
10;deploy zero cross-platform;Account Account Future-proofed;generating Keyboard Shoes;10
